1,1,1,0,0,0,0,0.03333333333333333,0.3333333333333333,0.2666666666666667,0.1,0.03333333333333333
1,1,1,0,0,0,0,0.2,0.2666666666666667,0.3333333333333333,0.3,0.2
1,1,1,0,0,0,0,0.06666666666666667,0.3333333333333333,0.03333333333333333,0.03333333333333333,0
0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0.8999999999999999,0.03333333333333333,0,0,0
0.03333333333333333,0.2,0.06666666666666667,0,0,0,0.8999999999999999,1,0.7666666666666666,0.4999999999999999,0.5,0
0.3333333333333333,0.2666666666666667,0.3333333333333333,0,0,0,0.03333333333333333,0.7666666666666666,1,1,0.9333333333333333,0.7
0.2666666666666667,0.3333333333333333,0.03333333333333333,0,0,0,0,0.4999999999999999,1,1,0.7999999999999999,0.6333333333333333
0.1,0.3,0.03333333333333333,0,0,0,0,0.5,0.9333333333333333,0.7999999999999999,1,1
0.03333333333333333,0.2,0,0,0,0,0,0,0.7,0.6333333333333333,1,1
